Characteristic,Asian+,Black+,Latinx+,Native American+*,White+,raw_characteristic,raw_Asian+,raw_Black+,raw_Latinx+,raw_Native American+*,raw_White+,raw_raw_characteristic,flag_missing_percentage
2014,31.5,2.4,4.5,1.0,64.5,2014,31.5%,2.4%,4.5%,1%,64.5%,2014,False
2015,32.7,2.5,4.9,1.0,62.9,2015,32.7%,2.5%,4.9%,1%,62.9%,2015,False
2016,33.9,2.8,5.2,0.8,61.0,2016,33.9%,2.8%,5.2%,0.8%,61%,2016,False
2017,36.3,2.8,5.3,0.8,58.5,2017,36.3%,2.8%,5.3%,0.8%,58.5%,2017,False
2018,38.1,3.0,5.3,0.3,56.6,2018,38.1%,3%,5.3%,0.3%,56.6%,2018,False
2019,39.8,3.3,5.7,0.8,54.4,2019,39.8%,3.3%,5.7%,0.8%,54.4%,2019,False
2020,41.9,3.7,5.9,0.8,51.7,2020,41.9%,3.7%,5.9%,0.8%,51.7%,2020,False
2021,42.3,4.4,6.4,0.8,50.4,2021,42.3%,4.4%,6.4%,0.8%,50.4%,2021,False
2022,43.2,5.3,6.9,0.8,48.3,2022,43.2%,5.3%,6.9%,0.8%,48.3%,2022,False
2023,44.8,5.6,7.3,0.8,46.2,2023,44.8%,5.6%,7.3%,0.8%,46.2%,2023,False
