rank,discipline,phd,service,gender,salary,raw_rank,raw_discipline,raw_gender,raw_salary,flag_missing_salary,flag_negative_salary,flag_salary_outlier,flag_missing_gender,flag_invalid_gender,has_audit_issue
Prof,B,56,49,Male,186960,Prof,B,Male,186960,False,False,True,False,False,True
Prof,A,12,6,Male,93000,Prof,A,Male,93000,False,False,False,False,False,False
Prof,A,23,20,Male,110515,Prof,A,Male,110515,False,False,False,False,False,False
Prof,A,40,31,Male,131205,Prof,A,Male,131205,False,False,False,False,False,False
Prof,B,20,18,Male,104800,Prof,B,Male,104800,False,False,False,False,False,False
Prof,A,20,20,Male,122400,Prof,A,Male,122400,False,False,False,False,False,False
Assocprof,A,20,17,Male,81285,AssocProf,A,Male,81285,False,False,False,False,False,False
Prof,A,18,18,Male,126300,Prof,A,Male,126300,False,False,False,False,False,False
Prof,A,29,19,Male,94350,Prof,A,Male,94350,False,False,False,False,False,False
Prof,A,51,51,Male,57800,Prof,A,Male,57800,False,False,False,False,False,False
Prof,B,39,33,Male,128250,Prof,B,Male,128250,False,False,False,False,False,False
Prof,B,23,23,Male,134778,Prof,B,Male,134778,False,False,False,False,False,False
Asstprof,B,1,0,Male,88000,AsstProf,B,Male,88000,False,False,False,False,False,False
Prof,B,35,33,Male,162200,Prof,B,Male,162200,False,False,False,False,False,False
Prof,B,25,19,Male,153750,Prof,B,Male,153750,False,False,False,False,False,False
Prof,B,17,3,Male,150480,Prof,B,Male,150480,False,False,False,False,False,False
Asstprof,B,8,3,Male,75044,AsstProf,B,Male,75044,False,False,False,False,False,False
Asstprof,B,4,0,Male,92000,AsstProf,B,Male,92000,False,False,False,False,False,False
Prof,A,19,7,Male,107300,Prof,A,Male,107300,False,False,False,False,False,False
Prof,A,29,27,Male,150500,Prof,A,Male,150500,False,False,False,False,False,False
Asstprof,B,4,4,Male,92000,AsstProf,B,Male,92000,False,False,False,False,False,False
Prof,A,33,30,Male,103106,Prof,A,Male,103106,False,False,False,False,False,False
Asstprof,A,4,2,Male,73000,AsstProf,A,Male,73000,False,False,False,False,False,False
Asstprof,A,2,0,Male,85000,AsstProf,A,Male,85000,False,False,False,False,False,False
Prof,A,30,23,Male,91100,Prof,A,Male,91100,False,False,False,False,False,False
Prof,B,35,31,Male,99418,Prof,B,Male,99418,False,False,False,False,False,False
Prof,A,38,19,Male,148750,Prof,A,Male,148750,False,False,False,False,False,False
Prof,A,45,43,Male,155865,Prof,A,Male,155865,False,False,False,False,False,False
Asstprof,B,7,2,Male,91300,AsstProf,B,Male,91300,False,False,False,False,False,False
Prof,B,21,20,Male,123683,Prof,B,Male,123683,False,False,False,False,False,False
Assocprof,B,9,7,Male,107008,AssocProf,B,Male,107008,False,False,False,False,False,False
Prof,B,22,21,Male,155750,Prof,B,Male,155750,False,False,False,False,False,False
Prof,A,27,19,Male,103275,Prof,A,Male,103275,False,False,False,False,False,False
Prof,B,18,18,Male,120000,Prof,B,Male,120000,False,False,False,False,False,False
Assocprof,B,12,8,Male,119800,AssocProf,B,Male,119800,False,False,False,False,False,False
Prof,B,28,23,Male,126933,Prof,B,Male,126933,False,False,False,False,False,False
Prof,B,45,45,Male,146856,Prof,B,Male,146856,False,False,False,False,False,False
Prof,A,20,8,Male,102000,Prof,A,Male,102000,False,False,False,False,False,False
Asstprof,B,4,3,Male,91000,AsstProf,B,Male,91000,False,False,False,False,False,False
Prof,B,18,18,Female,129000,Prof,B,Female,129000,False,False,False,False,False,False
Prof,A,39,36,Female,137000,Prof,A,Female,137000,False,False,False,False,False,False
Assocprof,A,13,8,Female,74830,AssocProf,A,Female,74830,False,False,False,False,False,False
Asstprof,B,4,2,Female,80225,AsstProf,B,Female,80225,False,False,False,False,False,False
Asstprof,B,5,0,Female,77000,AsstProf,B,Female,77000,False,False,False,False,False,False
Prof,B,23,19,Female,151768,Prof,B,Female,151768,False,False,False,False,False,False
Prof,B,25,25,Female,140096,Prof,B,Female,140096,False,False,False,False,False,False
Asstprof,B,11,3,Female,74692,AsstProf,B,Female,74692,False,False,False,False,False,False
Assocprof,B,11,11,Female,103613,AssocProf,B,Female,103613,False,False,False,False,False,False
Prof,B,17,17,Female,111512,Prof,B,Female,111512,False,False,False,False,False,False
Prof,B,17,18,Female,122960,Prof,B,Female,122960,False,False,False,False,False,False
Asstprof,B,10,5,Female,97032,AsstProf,B,Female,97032,False,False,False,False,False,False
Prof,B,20,14,Female,127512,Prof,B,Female,127512,False,False,False,False,False,False
Prof,A,12,0,Female,105000,Prof,A,Female,105000,False,False,False,False,False,False
Asstprof,A,5,3,Female,73500,AsstProf,A,Female,73500,False,False,False,False,False,False
Assocprof,A,25,22,Female,62884,AssocProf,A,Female,62884,False,False,False,False,False,False
Asstprof,A,2,0,Female,72500,AsstProf,A,Female,72500,False,False,False,False,False,False
Assocprof,A,10,8,Female,77500,AssocProf,A,Female,77500,False,False,False,False,False,False
Asstprof,A,3,1,Female,72500,AsstProf,A,Female,72500,False,False,False,False,False,False
Prof,B,36,26,Female,144651,Prof,B,Female,144651,False,False,False,False,False,False
Assocprof,B,12,10,Female,103994,AssocProf,B,Female,103994,False,False,False,False,False,False
Asstprof,B,3,3,Female,92000,AsstProf,B,Female,92000,False,False,False,False,False,False
Assocprof,B,13,10,Female,103750,AssocProf,B,Female,103750,False,False,False,False,False,False
Assocprof,B,14,7,Female,109650,AssocProf,B,Female,109650,False,False,False,False,False,False
Prof,A,29,27,Female,91000,Prof,A,Female,91000,False,False,False,False,False,False
Assocprof,A,26,24,Female,73300,AssocProf,A,Female,73300,False,False,False,False,False,False
Prof,A,36,19,Female,117555,Prof,A,Female,117555,False,False,False,False,False,False
Asstprof,A,7,6,Female,63100,AsstProf,A,Female,63100,False,False,False,False,False,False
Prof,A,17,11,Female,90450,Prof,A,Female,90450,False,False,False,False,False,False
Asstprof,A,4,2,Female,77500,AsstProf,A,Female,77500,False,False,False,False,False,False
Prof,A,28,7,Female,116450,Prof,A,Female,116450,False,False,False,False,False,False
Asstprof,A,8,3,Female,78500,AsstProf,A,Female,78500,False,False,False,False,False,False
Assocprof,B,12,9,Female,71065,AssocProf,B,Female,71065,False,False,False,False,False,False
Prof,B,24,15,Female,161101,Prof,B,Female,161101,False,False,False,False,False,False
Prof,B,18,10,Female,105450,Prof,B,Female,105450,False,False,False,False,False,False
Assocprof,B,19,6,Female,104542,AssocProf,B,Female,104542,False,False,False,False,False,False
Prof,B,17,17,Female,124312,Prof,B,Female,124312,False,False,False,False,False,False
Prof,A,28,14,Female,109954,Prof,A,Female,109954,False,False,False,False,False,False
Prof,A,23,15,Female,109646,Prof,A,Female,109646,False,False,False,False,False,False
