rank,discipline,phd,service,gender,salary,salary_clean,duplicate_flag,missing_salary_flag,negative_salary_flag,outlier_flag
Prof,B,56,49,Male,186960,186960.0,False,False,False,True
Prof,A,12,6,Male,93000,93000.0,False,False,False,False
Prof,A,23,20,Male,110515,110515.0,False,False,False,False
Prof,A,40,31,Male,131205,131205.0,False,False,False,False
Prof,B,20,18,Male,104800,104800.0,False,False,False,False
Prof,A,20,20,Male,122400,122400.0,False,False,False,False
AssocProf,A,20,17,Male,81285,81285.0,False,False,False,False
Prof,A,18,18,Male,126300,126300.0,False,False,False,False
Prof,A,29,19,Male,94350,94350.0,False,False,False,False
Prof,A,51,51,Male,57800,57800.0,False,False,False,False
Prof,B,39,33,Male,128250,128250.0,False,False,False,False
Prof,B,23,23,Male,134778,134778.0,False,False,False,False
AsstProf,B,1,0,Male,88000,88000.0,False,False,False,False
Prof,B,35,33,Male,162200,162200.0,False,False,False,False
Prof,B,25,19,Male,153750,153750.0,False,False,False,False
Prof,B,17,3,Male,150480,150480.0,False,False,False,False
AsstProf,B,8,3,Male,75044,75044.0,False,False,False,False
AsstProf,B,4,0,Male,92000,92000.0,False,False,False,False
Prof,A,19,7,Male,107300,107300.0,False,False,False,False
Prof,A,29,27,Male,150500,150500.0,False,False,False,False
AsstProf,B,4,4,Male,92000,92000.0,False,False,False,False
Prof,A,33,30,Male,103106,103106.0,False,False,False,False
AsstProf,A,4,2,Male,73000,73000.0,False,False,False,False
AsstProf,A,2,0,Male,85000,85000.0,False,False,False,False
Prof,A,30,23,Male,91100,91100.0,False,False,False,False
Prof,B,35,31,Male,99418,99418.0,False,False,False,False
Prof,A,38,19,Male,148750,148750.0,False,False,False,False
Prof,A,45,43,Male,155865,155865.0,False,False,False,False
AsstProf,B,7,2,Male,91300,91300.0,False,False,False,False
Prof,B,21,20,Male,123683,123683.0,False,False,False,False
AssocProf,B,9,7,Male,107008,107008.0,False,False,False,False
Prof,B,22,21,Male,155750,155750.0,False,False,False,False
Prof,A,27,19,Male,103275,103275.0,False,False,False,False
Prof,B,18,18,Male,120000,120000.0,False,False,False,False
AssocProf,B,12,8,Male,119800,119800.0,False,False,False,False
Prof,B,28,23,Male,126933,126933.0,False,False,False,False
Prof,B,45,45,Male,146856,146856.0,False,False,False,False
Prof,A,20,8,Male,102000,102000.0,False,False,False,False
AsstProf,B,4,3,Male,91000,91000.0,False,False,False,False
Prof,B,18,18,Female,129000,129000.0,False,False,False,False
Prof,A,39,36,Female,137000,137000.0,False,False,False,False
AssocProf,A,13,8,Female,74830,74830.0,False,False,False,False
AsstProf,B,4,2,Female,80225,80225.0,False,False,False,False
AsstProf,B,5,0,Female,77000,77000.0,False,False,False,False
Prof,B,23,19,Female,151768,151768.0,False,False,False,False
Prof,B,25,25,Female,140096,140096.0,False,False,False,False
AsstProf,B,11,3,Female,74692,74692.0,False,False,False,False
AssocProf,B,11,11,Female,103613,103613.0,False,False,False,False
Prof,B,17,17,Female,111512,111512.0,False,False,False,False
Prof,B,17,18,Female,122960,122960.0,False,False,False,False
AsstProf,B,10,5,Female,97032,97032.0,False,False,False,False
Prof,B,20,14,Female,127512,127512.0,False,False,False,False
Prof,A,12,0,Female,105000,105000.0,False,False,False,False
AsstProf,A,5,3,Female,73500,73500.0,False,False,False,False
AssocProf,A,25,22,Female,62884,62884.0,False,False,False,False
AsstProf,A,2,0,Female,72500,72500.0,False,False,False,False
AssocProf,A,10,8,Female,77500,77500.0,False,False,False,False
AsstProf,A,3,1,Female,72500,72500.0,False,False,False,False
Prof,B,36,26,Female,144651,144651.0,False,False,False,False
AssocProf,B,12,10,Female,103994,103994.0,False,False,False,False
AsstProf,B,3,3,Female,92000,92000.0,False,False,False,False
AssocProf,B,13,10,Female,103750,103750.0,False,False,False,False
AssocProf,B,14,7,Female,109650,109650.0,False,False,False,False
Prof,A,29,27,Female,91000,91000.0,False,False,False,False
AssocProf,A,26,24,Female,73300,73300.0,False,False,False,False
Prof,A,36,19,Female,117555,117555.0,False,False,False,False
AsstProf,A,7,6,Female,63100,63100.0,False,False,False,False
Prof,A,17,11,Female,90450,90450.0,False,False,False,False
AsstProf,A,4,2,Female,77500,77500.0,False,False,False,False
Prof,A,28,7,Female,116450,116450.0,False,False,False,False
AsstProf,A,8,3,Female,78500,78500.0,False,False,False,False
AssocProf,B,12,9,Female,71065,71065.0,False,False,False,False
Prof,B,24,15,Female,161101,161101.0,False,False,False,False
Prof,B,18,10,Female,105450,105450.0,False,False,False,False
AssocProf,B,19,6,Female,104542,104542.0,False,False,False,False
Prof,B,17,17,Female,124312,124312.0,False,False,False,False
Prof,A,28,14,Female,109954,109954.0,False,False,False,False
Prof,A,23,15,Female,109646,109646.0,False,False,False,False
